Authors: Tile. Publication data,Search Specific Keywords,EC1,EC2,EC3
"Mengting Hu, Hang Gao, Tiegang Gao: Secure and Efficient Ranked Keyword Search over Outsourced Cloud Data by Chaos Based Arithmetic Coding and Confusion. I. J. Network Security 21(1): 105-114 (2019)",search based cloud,X,X,X
"Fateh Boucenna, Omar Nouali, Samir Kechid, M. Tahar Kechadi: Secure Inverted Index Based Search over Encrypted Cloud Data with User Access Rights Management. J. Comput. Sci. Technol. 34(1): 133-154 (2019)",search based cloud,X,X,X
"Yang Yang, Yu-Chao Zhan, Jia Liu, Xi-Meng Liu, Feng Yuan, Shang-Ping Zhong: Chinese Multi-Keyword Fuzzy Rank Search over Encrypted Cloud Data based on Locality-Sensitive Hashing. J. Inf. Sci. Eng. 35(1): 137-158 (2019)",search based cloud,X,X,X
"S. N. Manoharan, K. Ruba Soundar: A Novel Securable Fuzzy Logic Based Ranking Scheme for Document Searching on Outsourced Cloud Data. Wireless Personal Communications 105(1): 175-218 (2019)",search based cloud,X,X,X
"Shangping Wang, Duo Zhang, Yaling Zhang, Lihua Liu: Efficiently Revocable and Searchable Attribute-Based Encryption Scheme for Mobile Cloud Storage. IEEE Access 6: 30444-30457 (2018)",search based cloud,X,X,X
"Anurag Satpathy, Sourav Kanti Addya, Ashok Kumar Turuk, Banshidhar Majhi, Gadadhar Sahoo: Crow search based virtual machine placement strategy in cloud data centers with live migration. Computers & Electrical Engineering 69: 334-350 (2018)",search based cloud,X,X,X
"Jingsha He, Jianan Wu, Nafei Zhu, Muhammad Salman Pathan: MinHash-Based Fuzzy Keyword Search of Encrypted Data across Multiple Cloud Servers. Future Internet 10(5): 38 (2018)",search based cloud,X,X,X
"Yanli Chen, Yuanyuan Hu, Minhui Zhu, Geng Yang: Attribute-Based Keyword Search with Proxy Re-Encryption in the Cloud. IEICE Transactions 101-B(8): 1798-1808 (2018)",search based cloud,X,X,X
"Laicheng Cao, Jinbo Zhang, Xiaoye Dong, Chengzhe Xi, Yafei Wang, Yangyang Zhang, Xian Guo, Tao Feng: A based on blinded CP-ABE searchable encryption cloud storage service scheme. Int. J. Communication Systems 31(10) (2018)",search based cloud,X,X,X
"Rachhpal Singh: Hybrid genetic, variable neighbourhood search and particle swarm optimisation-based job scheduling for cloud computing. IJCSE 17(2): 184-191 (2018)",search based cloud,X,X,X
"Vijayakumar Polepally, K. Shahu Chatrapati: Exponential gravitational search algorithm-based VM migration strategy for load balancing in cloud computing. IJMSSC 9(1): 1850002 (2018)",search based cloud,X,X,X
"Run Xie, Chunxiang Xu, Chanlian He, Xiaojun Zhang: Lattice-based searchable public-key encryption scheme for secure cloud storage. IJWGS 14(1): 3-20 (2018)",search based cloud,X,X,X
